GSM329408	GSM329409	GSM329410	GSM329411	GSM329414	GSM329417	GSM329419	GSM329421	GSM329425	GSM329427
A1BG	P	P	A	A	P	P	P	P	P	P
A1BG-AS1	A	A	A	A	A	A	A	A	A	A
A1CF	A	A	A	A	M	P	A	A	A	A
A2M	A	A	A	P	P	A	A	P	P	A
A2M-AS1	A	P	A	A	P	A	P	P	P	A
A2ML1	A	A	A	A	A	A	A	A	A	A
A2MP1	A	A	A	A	A	A	A	A	A	A
A4GALT	A	A	A	A	A	A	A	A	A	A
A4GNT	A	M	A	A	A	A	A	A	A	A
AA06	A	A	A	A	P	P	A	A	A	A
AAAS	P	P	P	A	P	P	A	P	P	P
AACS	P	P	P	A	P	P	M	P	P	P
AACSP1	A	A	A	P	A	A	A	A	A	A
AADAC	A	A	A	A	A	A	A	A	A	A
AADACL2	A	P	A	A	A	A	A	A	A	A
AADACP1	A	A	A	A	A	A	A	A	A	A
AADAT	A	P	A	A	A	A	A	A	A	A
AAED1	P	P	A	P	P	P	P	P	P	P
AAGAB	P	P	P	P	P	P	P	P	P	P
AAK1	P	P	P	P	P	P	P	P	P	P
AAMDC	P	P	P	A	P	P	P	P	P	P
AAMP	P	P	P	P	P	P	A	P	P	P
AANAT	A	A	A	A	A	A	A	A	A	A
AAR2	P	P	P	A	P	P	P	P	P	P
AARS	P	P	P	P	P	P	A	P	P	P
AARS2	P	M	P	A	P	P	A	P	P	P
AARSD1	P	P	P	A	P	P	P	P	P	P
AASDH	P	P	P	A	P	P	P	P	P	P
AASDHPPT	P	P	P	P	P	P	P	P	P	P
AASS	P	P	A	A	A	A	P	P	A	P
AATF	P	P	P	P	P	P	P	P	P	P
AATK	A	P	A	A	A	P	P	P	A	A
AB074162	A	A	A	A	A	A	A	A	M	A
AB488780	A	A	A	A	P	A	A	P	P	P
ABAT	P	P	P	A	P	P	P	P	P	P
ABCA1	P	P	P	P	P	P	P	P	P	P
ABCA11P	P	A	A	A	P	A	A	P	P	A
ABCA12	A	A	A	A	A	A	A	A	A	A
ABCA13	A	P	A	A	P	A	P	P	A	P
ABCA17P	A	P	A	A	A	P	A	A	P	A
ABCA2	M	P	A	A	P	A	P	P	P	P
ABCA3	A	A	A	A	A	A	A	A	A	A
ABCA4	A	A	A	A	A	A	A	A	A	A
ABCA5	P	P	P	P	P	P	P	P	P	P
ABCA6	A	A	A	A	A	A	A	A	A	A
ABCA7	P	P	P	P	P	P	P	P	P	P
ABCA8	A	A	A	A	A	A	A	A	A	A
ABCA9	A	A	A	P	A	A	A	A	M	A
ABCB1	P	P	A	A	P	A	P	P	P	P
ABCB10	P	P	P	P	P	P	P	P	P	P
ABCB11	A	A	A	P	A	A	A	A	A	A
ABCB4	P	P	M	A	P	A	A	P	P	A
ABCB5	A	A	P	A	A	A	A	A	A	A
ABCB6	A	A	A	A	A	A	A	A	A	A
ABCB7	P	P	P	P	P	P	P	P	P	P
ABCB8	P	P	P	A	A	P	A	P	P	A
ABCB9	A	A	A	A	A	A	A	A	P	A
ABCC1	P	P	P	P	P	P	P	P	P	P
ABCC10	P	P	P	P	P	P	P	P	P	P
ABCC11	A	P	A	A	A	A	A	A	A	A
ABCC12	A	A	A	A	A	A	A	A	A	A
ABCC13	A	P	A	P	A	A	P	P	P	P
ABCC2	A	A	A	A	A	A	A	A	A	A
ABCC3	A	A	A	A	A	A	A	A	A	A
ABCC4	A	P	P	A	P	P	M	P	P	P
ABCC5	P	P	A	P	P	P	P	P	P	P
ABCC6	A	P	A	A	P	P	P	M	A	A
ABCC6P1	A	A	A	A	A	A	A	A	A	A
ABCC8	A	A	A	A	A	A	A	A	A	A
ABCC9	A	A	A	A	A	A	A	A	A	P
ABCD1	P	A	P	M	P	A	P	P	P	M
ABCD1P2	A	A	A	A	A	A	A	A	A	A
ABCD2	A	A	A	A	A	A	A	A	A	A
ABCD3	P	P	P	P	P	P	P	P	P	P
ABCD4	P	P	P	A	P	P	P	P	P	P
ABCE1	P	P	P	P	P	P	P	P	P	P
ABCF1	P	P	P	P	P	P	P	P	P	P
ABCF2	P	P	P	P	P	P	A	P	P	P
ABCF3	P	P	P	A	P	P	P	A	P	P
